ticker,date,DeltaT,Modello,Measure,Moneyness,Density
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.0276381909547738,0.008224057711595
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.0326633165829144,0.0084767837556122
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.0376884422110553,0.0087540290443183
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.042713567839196,0.009132438595681
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.0477386934673367,0.0095970251115288
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.0527638190954771,0.0100341523251014
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.057788944723618,0.0104488128368121
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.0628140703517586,0.0107055627542395
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.0678391959798994,0.0108382400618724
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.0728643216080402,0.0108941277190005
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.0778894472361809,0.0108920863415365
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.0829145728643217,0.0108068400394337
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.087939698492462,0.0106613418953511
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.092964824120603,0.0104568283234138
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.0979899497487435,0.0102113040304254
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.1030150753768844,0.0099282428550096
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.108040201005025,0.0096201570913087
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.1130653266331658,0.0092993184874828
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.1180904522613064,0.0089703264284955
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.123115577889447,0.0086584574249383
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.128140703517588,0.0083570831972903
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.1331658291457287,0.0080856330228201
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.1381909547738691,0.00783175729228
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.14321608040201,0.0076828955908503
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.1482412060301506,0.0075931042807953
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.1532663316582912,0.0075013128809795
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.158291457286432,0.0074084445097541
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.1633165829145726,0.0072311096595289
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.1683417085427137,0.0070102617746675
